,AHI1,AKAP7,ALDH8A1,ARG1,BCLAF1,CAMK1D,CCDC28A,CDK4,CDKN2A,CDKN2B,CHAT,CITED2,COL6A2,CPM,CPT1B,CSTF2T,CTGF,CYP27B1,DKK1,DSE,DST,ECHDC1,EGFR,ENPP1,EPB41L2,EPHA7,EPM2A,EYA4,FABP7,GJA1,GPR126,GRM1,HBS1L,HDDC2,HEBP2,HECA,HEY2,HIVEP2,HSF2,IFNGR1,IL20RA,KIAA0408,KPNA5,LAMA2,MAN1A1,MAP3K5,MAP7,MDM2,MDM4,MED23,MET,MOXD1,MTAP,MYB,NF1,NMBR,NUS1,PACRG,PDE7B,PDGFRA,PERP,PEX3,PEX7,PFKP,PHACTR2,PIK3C2B,PIK3CA,PIK3R1,PLAGL1,PLN,PRKG1,PTEN,PTPRK,QKI,RAB32,RB1,RNF146,ROS1,RSU1,RWDD1,SERINC1,SF3B5,SLC18A3,SMPDL3A,STX11,TAAR2,TAAR5,TBPL1,TCF12,TCF21,TNFAIP3,TP53,TPD52L1,TRMT11,TSPAN31,UTRN,VNN1,VNN2,VNN3
TCGA-06-0185,-0.24339,-0.11598,-0.22531,0.03832,-0.75318,-0.66393,0.28548,-0.23085,-1.10476,-0.36645,-0.25928,-0.09158,-0.38294,-0.96076,-0.81739,-0.4155,-0.11182,-0.55138,-1.5544,-1.06398,-0.9523,-0.32995,2.11908,0.26911,-0.70382,-0.41604,0.1754,1.24298,0.21947,1.38679,-0.5033,-0.19876,-0.75554,-0.28575,0.13807,-0.96239,-0.19929,-0.50579,0.15993,0.57966,0.06265,-1.30922,-0.32338,-0.32042,-0.56666,-0.33465,-0.04535,-0.82856,0.22827,-0.36526,-0.61985,-0.59194,-0.65471,-0.34835,-0.12049,0.32863,-0.4297,1.03664,0.01352,-1.2549,0.11077,-0.28324,-0.07766,-0.72062,-0.53639,0.01141,-0.91452,0.30964,-0.28825,0.20935,-0.08485,-0.26611,-0.14133,-0.38059,0.50594,0.31248,-0.37139,1.04453,-0.37012,-0.39213,-0.27305,-0.01111,-0.58735,-1.27924,0.18638,0.57119,-0.07881,-0.10819,0.29141,0.12904,-0.67063,0.15233,-0.20315,-0.33732,0.00445,-0.8369,-0.25186,0.11673,-0.14225
TCGA-06-0187,-0.87544,-0.21196,-0.64126,0.06151,-0.18768,-0.3043,-0.60325,-0.26842,-1.29229,-0.71104,-0.19633,0.0464,0.01292,-0.84492,-0.74255,0.14895,0.11627,-0.3491,-1.48038,0.28535,-0.40224,-0.41853,3.83743,-0.36514,-0.47653,-0.58049,-0.11096,-1.36927,0.24079,-0.10236,0.09749,-0.56788,-1.09019,-0.83133,-0.36412,-0.34258,-0.38331,0.01931,-0.63455,-0.27254,-0.16577,-0.79598,-0.38953,0.42678,-0.21774,0.40887,-0.82632,4.54183,-0.79826,-0.36662,-0.74593,-1.85944,-0.84085,-0.25673,-0.02931,0.25971,-0.43929,-0.4408,-0.28751,-2.97163,0.0617,-0.65875,-0.50809,0.03727,-0.28004,-0.01683,-0.13491,0.87424,-0.45085,-0.80858,-0.09355,0.33063,-0.00579,0.05834,-0.6298,0.60077,-0.91097,-0.75805,-0.11156,-0.64276,-0.06038,-1.28249,-0.10561,-0.92677,0.09989,-0.08087,0.08309,-0.80927,0.69992,-0.0546,0.55216,0.41059,-1.20024,-0.79343,-0.39103,-0.09759,-0.0228,0.3742,-0.06302
TCGA-06-0188,0.34586,0.39761,-0.40566,0.30967,0.38855,0.3316,0.35997,-0.49013,-1.27622,-0.94775,-0.22776,-0.13799,-0.10538,0.47507,-0.1203,0.37244,0.13745,-0.47971,-1.31239,0.00014,0.19641,0.33788,-0.35997,0.56365,0.91559,0.77052,0.31975,-1.47577,-1.92334,1.48249,-0.25988,2.44664,-0.17685,0.50723,-0.24039,0.95229,0.62167,0.37187,0.63241,0.11702,1.14508,0.66624,0.31246,0.78114,-0.17702,1.85461,1.52239,-0.49759,-0.35204,0.77957,-0.17995,1.132,0.27798,0.15848,0.4008,0.21175,0.05852,1.64547,0.66641,1.44165,0.27228,0.46339,0.63579,0.27103,1.25089,0.37947,0.30687,0.5795,0.30226,-0.0222,0.15999,0.79255,0.92122,0.8678,-0.30057,-0.191,0.60848,-0.48944,-0.03826,0.11703,0.70951,-0.43813,-0.15962,-0.34844,-0.03148,-0.28558,-0.17514,0.32144,0.39844,-0.54149,-0.14668,-0.40474,0.86419,1.18704,-0.54155,0.78876,0.07034,-0.18933,0.066
TCGA-06-0189,-0.10471,-0.08959,-0.18629,0.80888,-0.74451,-0.84257,0.49622,-0.90253,1.96035,1.49321,0.40279,0.32746,0.86031,0.53561,-0.29388,-0.78911,0.71567,-0.24194,2.88662,0.88607,-0.94595,-0.12657,-1.11158,0.42786,-1.02052,-0.15348,-0.18322,-0.85273,0.95464,-0.03903,0.03569,0.38037,-0.28983,0.09579,0.76852,0.261,-0.27628,-0.62835,-0.54005,0.15972,-0.16115,-0.77417,-0.19209,1.45471,0.91491,-0.08119,-0.74077,-0.75975,-0.41139,-0.16932,-0.00515,1.65653,0.49169,-0.15609,-0.73417,0.15937,0.14288,-0.52228,-0.27445,-0.7422,0.34567,-0.13342,0.18162,-0.74616,1.38113,-0.39819,0.05819,-0.67588,0.86129,0.41648,0.13688,0.38748,0.26086,-0.60742,0.70112,-0.08358,-0.85714,0.69779,0.20361,0.51665,-0.0235,0.16542,-0.18824,0.8954,-0.0519,0.01287,-0.10902,0.3033,-0.04492,0.43843,0.08996,0.30402,0.74226,0.33595,-1.19081,-0.10724,1.65946,1.67794,0.94909
TCGA-06-0190,0.40138,-0.31599,-0.25684,0.54647,0.18388,-0.25799,0.28704,-0.52749,1.11539,0.17347,0.11804,0.62109,1.43693,1.33741,-0.13014,-0.14098,1.51405,-0.39172,-0.3653,1.0039,0.33052,0.42357,-1.69502,0.81941,-0.20974,-0.33465,-0.37857,1.5682,0.88715,0.17237,0.05642,-0.73761,-0.10774,-0.12532,0.55319,0.13859,-0.65334,0.0699,-0.10998,0.44628,0.21571,-0.01688,-0.01419,0.72899,1.13334,0.21686,0.28721,0.28826,-0.15887,0.65328,0.89683,2.42128,0.39954,-0.01996,-0.20022,0.14109,0.22336,-0.44478,0.43224,0.0547,1.42817,0.22475,0.23802,-0.00276,0.88639,-0.80941,0.17673,-0.59733,0.99176,0.44487,0.17633,0.63492,0.40425,-0.21638,0.8822,-0.32579,0.02377,1.30731,0.56089,0.02371,0.20065,-0.07939,-0.17363,0.78109,0.3568,-0.56155,-0.18589,0.2106,0.2729,0.20222,1.05663,0.20779,1.40875,0.13894,-0.60668,0.13385,0.67268,0.60202,0.19479
TCGA-06-0197,-0.3205,-0.33069,-0.15807,0.57862,-0.53016,-0.6737,0.92458,-0.38392,3.25036,2.29243,0.12709,0.52067,-0.70417,0.74246,-0.75585,-0.42989,0.06039,-0.12517,0.23861,1.25467,-0.61717,0.79442,-1.54154,-0.42142,-0.10892,-0.45799,0.27532,-0.14233,0.28008,0.38503,0.89918,-0.21635,0.11941,0.65088,0.85387,0.0628,-1.20889,-0.21106,-0.0975,1.06324,-0.12746,-0.2768,0.40668,-0.24937,1.00624,1.02084,-0.49268,-0.71601,-0.75392,0.29477,1.15173,1.71073,0.67198,-0.25312,-0.61757,0.21582,1.05281,-0.34586,0.24893,-1.38716,-0.05175,0.56811,0.51888,-0.59532,0.99852,-1.40307,0.01265,-0.76753,0.63223,-0.25875,-0.20016,0.09093,-0.74276,-0.32381,1.69966,0.40044,-0.2406,0.83076,0.40103,0.51133,0.33232,0.68229,-0.09631,1.28459,0.18345,0.31587,0.0469,0.7306,-0.73959,0.35187,1.05776,0.04854,1.4742,0.73013,-0.71769,0.19392,0.6904,0.68391,0.44504
TCGA-06-0208,0.29601,0.91437,0.05417,0.36816,-0.30384,-0.3616,0.15411,-0.42887,-1.08938,-0.43642,0.07596,-0.20705,-0.68389,-0.11869,0.1695,-0.39566,-0.01182,-0.11161,-1.17498,-0.83414,-0.95117,0.93085,2.34575,0.40607,-0.33995,0.68497,0.35602,0.95744,1.34645,1.44224,-0.39213,-0.13517,-0.35633,1.83967,0.83081,-0.5562,0.50819,-0.11253,1.35477,1.38174,1.12122,-0.17697,0.56744,1.03,0.40095,0.22873,0.40751,-0.24501,-0.21426,0.47829,-0.68209,0.85923,-0.88088,-0.25204,-0.37651,0.4296,0.33754,0.60334,0.84189,-0.39507,0.39398,1.19739,0.7775,-0.48216,-0.69386,-0.30545,-0.48799,0.15917,-0.06139,-0.23044,-0.16559,0.3535,0.46903,0.11019,1.02754,0.72231,0.03748,1.20604,-0.35214,1.14949,0.49444,0.44183,-0.3902,0.3195,0.15082,-0.69951,0.11738,0.96635,0.49006,0.34825,-0.53832,-0.82424,1.9252,0.46098,0.50624,-0.10202,0.25464,2.30806,0.08075
TCGA-06-0210,-0.01336,0.15472,-0.09947,0.88883,-0.24295,-0.24194,0.02912,-0.52512,-1.19568,-0.8749,0.09612,0.03636,0.51334,-0.16484,0.22691,-0.57661,-0.46567,-0.27873,0.63206,0.70393,-0.25927,0.58234,-1.33566,0.21233,-0.4937,0.15134,-0.32454,0.84411,0.433,0.31156,-0.48067,-0.51587,0.01895,0.24901,0.2683,-0.01256,0.04995,0.04076,0.14223,0.16274,0.43793,0.08277,0.18893,-0.25151,0.68888,-0.54135,0.23032,-0.3996,4.86608,0.24592,0.30122,0.68904,-0.87309,-0.33067,-0.34805,0.11209,0.51453,-0.43384,-0.79724,0.27833,0.64144,0.47402,0.31319,0.46069,-0.73291,1.74005,-0.51664,-0.5941,0.62039,-0.106,0.15042,0.12387,-0.85082,0.03951,0.58599,0.31736,-0.26183,-1.29479,0.00088,0.38663,0.85952,-0.0368,-0.05464,-0.09979,0.01146,0.51739,-0.01554,0.29621,-0.33902,-0.1985,0.91469,0.37642,-0.92394,0.95083,0.06039,-0.28535,0.3531,1.20454,0.22209
TCGA-06-0211,0.10601,1.42592,-0.07241,0.30455,-0.15991,-0.55184,-0.29868,0.20536,-1.32273,-0.51935,0.03262,0.28317,-0.51429,-1.46463,-0.56252,-0.20516,-0.31845,-0.14998,-1.49798,-0.98123,-0.6038,-0.19513,1.68275,-0.44811,-0.26928,0.11038,0.06004,-0.02641,1.43915,0.32136,0.00109,0.0954,-0.44442,0.26684,0.56712,-0.47741,0.02898,-0.24254,0.12263,-0.04335,0.43328,-0.77322,0.10664,-0.38578,-0.59694,-0.50756,-0.51462,-0.95838,-0.62719,0.01377,-0.92897,0.86645,-0.91555,-0.28827,-0.01304,0.37687,0.10131,-0.37508,-0.05752,1.7664,-0.46833,0.4146,0.44231,-0.69697,-0.33039,0.23762,0.43713,-0.47927,-0.30159,-0.74198,-0.03507,0.06727,-1.12607,0.16667,0.18649,0.48096,-0.20407,0.78514,-0.20182,-0.06787,-0.05919,0.41002,-0.09491,0.07039,-0.22284,0.12532,-0.05203,0.18997,0.73381,0.14119,-0.72483,0.78948,-0.56952,-0.21014,-0.15179,-0.64123,-0.45781,-0.64057,-0.07469
TCGA-06-0214,-0.64798,0.38842,-0.28777,0.02405,-0.40132,-0.16356,-0.05358,0.09659,-0.6358,-0.23023,0.19229,0.23674,-0.76565,1.06882,-0.23564,0.2489,-0.21107,-0.15775,-0.53761,-0.44273,-0.1103,-0.0724,1.12052,0.11201,0.34769,-0.00464,-0.2956,-0.1054,-0.04956,0.16159,-0.38574,0.33184,-0.57567,-0.74087,-0.17704,0.13749,0.08189,-0.59349,-0.62114,0.60192,-0.21651,-0.78184,-0.06087,-0.24064,0.58889,0.23262,1.27464,0.49531,-0.58974,-0.36921,-0.47282,0.73503,-0.28919,-0.26617,0.0394,0.06436,-0.20901,-0.23776,0.12028,2.54279,-0.16573,-0.15798,-0.09815,0.25602,-0.14884,0.95428,-0.25534,0.51792,-0.23977,-0.02844,0.18086,-0.28071,0.38047,0.21392,0.26401,0.33384,-0.44562,0.48817,0.44346,-0.36089,-0.01218,-0.33876,-0.07288,0.5134,-0.03928,0.0331,-0.07965,-0.34292,0.39,0.21584,-0.07613,0.09848,0.71362,-0.23399,0.275,-0.50863,-0.0329,-0.16051,-0.14795
