,AHI1,AKAP7,ALDH8A1,ARG1,BCLAF1,CAMK1D,CCDC28A,CDK4,CDKN2A,CDKN2B,CHAT,CITED2,COL6A2,CPM,CPT1B,CSTF2T,CTGF,CYP27B1,DKK1,DSE,DST,ECHDC1,EGFR,ENPP1,EPB41L2,EPHA7,EPM2A,EYA4,FABP7,GJA1,GPR126,GRM1,HBS1L,HDDC2,HEBP2,HECA,HEY2,HIVEP2,HSF2,IFNGR1,IL20RA,KIAA0408,KPNA5,LAMA2,MAN1A1,MAP3K5,MAP7,MDM2,MDM4,MED23,MET,MOXD1,MTAP,MYB,NF1,NMBR,NUS1,PACRG,PDE7B,PDGFRA,PERP,PEX3,PEX7,PFKP,PHACTR2,PIK3C2B,PIK3CA,PIK3R1,PLAGL1,PLN,PRKG1,PTEN,PTPRK,QKI,RAB32,RB1,RNF146,ROS1,RSU1,RWDD1,SERINC1,SF3B5,SLC18A3,SMPDL3A,STX11,TAAR2,TAAR5,TBPL1,TCF12,TCF21,TNFAIP3,TP53,TPD52L1,TRMT11,TSPAN31,UTRN,VNN1,VNN2,VNN3
TCGA-06-0221,0.17687,0.41992,0.3989,0.68606,-1.25485,-0.33492,0.35807,1.31528,0.67306,0.06272,0.14767,0.27339,-0.83958,0.12897,0.36386,-0.44457,-1.06398,-0.19526,0.8933,-0.76527,-0.79616,-0.17099,-2.13569,-0.43146,-0.70572,0.27701,-0.29554,-1.15633,-1.25277,-0.91588,-0.04373,0.60845,-0.47743,0.95232,-0.00741,-0.99334,-0.03652,-0.73086,1.03728,1.39821,-0.27125,-0.24321,0.32343,-1.5874,-0.20362,-0.54259,0.22791,-0.46885,-0.89327,0.09869,-0.71328,-2.46588,-0.0751,0.4014,-0.0388,0.36729,-0.05781,0.12473,-0.52333,1.75722,-0.4349,0.75627,-0.20485,-0.61168,-1.04164,-0.88142,-0.85581,-0.31393,-0.17519,0.21525,-0.02944,-0.1103,0.04869,-0.69767,0.27206,0.55083,-0.29495,1.41399,-0.38598,0.73846,-0.43357,0.59938,-0.10453,-0.1594,-0.33695,0.29832,0.41913,1.59518,0.704,0.41406,-0.86111,-1.68828,0.48427,-0.23732,1.32635,-0.94804,-0.08836,1.04837,0.48248
TCGA-06-0237,-0.17633,0.54086,-0.28218,0.25392,-0.54536,-0.60575,0.27593,-0.11492,-0.19068,0.47403,0.01872,0.0728,-0.69648,-0.8753,-0.12506,-0.30183,-1.43597,-0.53212,-1.12763,-0.63969,-0.829,0.07986,1.47624,0.46846,-0.48015,0.13737,0.39229,-1.10987,0.19392,1.24065,-0.39239,1.26479,-0.08372,0.45292,0.57162,-0.5119,-0.0793,-0.60651,0.77833,0.64163,0.93681,0.26932,0.33185,-1.19077,-0.53579,0.94133,0.24918,-1.10745,-0.46964,0.00174,-0.60225,0.80514,-0.13043,-0.06485,0.01172,0.51629,-0.12136,1.70846,0.41558,-0.2046,-0.41111,0.39516,0.40553,-0.92234,-0.3203,-0.20415,-0.60004,-0.22583,-0.34814,-0.70051,-0.1418,-0.03388,-1.39612,0.90194,1.05365,0.41123,-0.07238,0.15033,-0.70415,0.48009,0.09323,0.53044,-0.06257,-0.88411,-0.03264,-0.03455,0.10208,0.72573,0.33731,0.32918,-0.79663,-0.26063,-0.15016,0.01551,-0.1168,-0.07597,-0.02719,0.22577,-0.21986
TCGA-06-0238,-0.50086,0.05007,0.05336,-0.00932,-0.39983,-0.2998,-0.57125,1.92805,1.85382,0.35331,0.25766,0.15666,-0.50897,0.20906,-0.1125,-0.44286,-0.69736,0.93275,-1.30559,-0.68779,-0.42355,-0.42061,-2.65149,0.25119,0.17478,0.49813,-0.27729,-0.6964,0.2267,-0.41241,-0.30453,0.75749,-0.15574,-0.15422,-0.47881,-0.67577,-0.04757,-0.87548,0.36325,0.3326,0.05411,0.07229,-0.16852,-1.41996,-0.15578,-0.7043,-0.00683,-0.49237,-0.44584,-0.72569,-0.44015,-0.48012,0.18913,0.73056,-0.31558,-0.2225,-0.57473,-0.18995,-0.23924,-0.21393,-0.46099,-0.80577,-0.55797,-1.34424,-0.68671,0.02089,-0.69432,-0.27583,-0.28201,-0.60937,-0.14151,-0.6679,-0.22979,0.07679,-0.07492,0.07394,-0.25514,-0.09966,-0.94379,-0.07701,-0.09137,0.20549,0.14112,-0.72012,0.31298,-0.16251,-0.01877,0.93827,-0.1602,0.48439,-0.45536,-0.23188,-0.28628,-0.71349,2.08718,-0.62602,0.18866,0.00911,0.02729
TCGA-06-0241,-0.26612,0.38962,-0.21474,0.05357,0.22468,-0.6122,0.0089,0.23366,-1.01783,-0.66933,-0.19796,-0.10013,-0.65624,0.74733,-0.51221,0.28293,-0.3283,-0.29372,-0.69721,-0.23337,-0.64562,0.17362,-3.01357,0.47487,0.02567,-0.61143,0.1817,-1.3658,0.35613,-2.00354,-0.53156,-0.27578,-0.12053,1.02664,0.53696,-0.05337,0.46755,-0.34146,1.17645,-0.11129,-0.31695,0.432,0.37599,-1.42774,-0.31575,-1.01614,-0.37526,-0.24395,-0.38409,0.51787,-0.71242,-2.39099,-0.05374,0.57983,0.12902,0.3375,0.46099,0.24655,0.39793,3.55976,0.21234,0.65962,0.35895,-0.47045,-0.77202,1.22042,0.18335,0.08366,-0.7099,-0.1128,0.02802,-0.04588,-0.35153,0.77448,-0.24209,0.21914,0.04945,-0.07654,-0.21124,0.53124,-0.05425,0.64204,-0.12973,-0.1669,0.11411,0.52542,-0.02442,1.08612,0.50763,0.13602,-0.50572,0.18969,-0.12722,0.42544,0.26206,-0.95083,-0.1274,0.49789,0.15985
TCGA-06-0644,0.17402,-0.40862,-0.40377,-0.5431,-0.5665,-0.82476,-0.02315,0.02528,-1.2992,-0.75855,0.18097,-0.26775,2.3238,-0.26151,-0.74913,-0.18079,0.04057,-0.49456,4.6472,0.82647,-0.46847,0.34169,-1.84717,0.94762,-0.18645,0.26297,-0.59541,0.82107,0.68263,-0.58523,-0.0575,-0.15425,-0.35847,0.15505,0.08293,-0.76769,0.05623,-0.77463,-0.44903,-0.33722,-0.03662,-0.77195,-0.57148,0.80393,1.49899,-0.51713,0.08274,-0.71282,-1.77605,-0.87919,1.94424,2.6818,-0.9676,-0.12954,-0.38665,-0.23816,0.42594,-0.88946,-0.56426,-0.95415,-0.3387,-0.17686,-0.11208,-0.24972,0.5483,-1.2387,0.96147,-1.59699,0.33514,-0.17694,-0.11402,-0.65385,0.0137,-0.73518,0.86379,0.21688,-0.42839,-0.14553,0.01621,-0.06088,-0.24154,0.28636,0.08984,0.49678,0.36671,0.00554,-0.22613,-0.00759,-0.28604,0.34229,0.22916,0.37334,-0.46273,0.04688,0.02769,0.24085,0.68924,0.49934,0.03779
TCGA-06-0645,-0.40852,-0.04968,-0.25494,0.26507,-0.22805,-0.36954,0.08301,-0.69945,0.08929,0.64784,-0.11769,0.49039,-0.09543,0.65276,-0.1697,0.09624,0.648,-0.30184,-1.19376,1.30299,-0.36505,0.03785,2.14189,-0.31734,0.56649,0.09701,-0.22328,-0.15566,0.54979,-0.21973,0.0707,-0.10954,-0.32639,-0.437,0.25111,0.24005,-0.23899,0.23405,-0.34759,0.55707,-0.07194,-0.33307,-0.28955,0.18631,0.5076,0.54509,0.09632,-0.32619,-0.416,-0.20692,-0.27136,-0.01037,0.00332,-0.11729,-0.19212,-0.26867,0.43087,-0.38686,-0.23873,-0.06278,-0.17066,-0.13582,-0.34194,-0.00484,0.32479,-0.21217,-0.37296,0.17348,-0.07612,1.40288,0.10016,-0.2386,-0.18598,0.05858,0.69359,0.50307,0.20713,-0.58228,0.27256,0.09666,0.05813,0.05961,0.10648,0.6785,0.38435,-0.16424,0.03148,-0.27297,-0.43661,0.03283,1.43373,-0.19773,0.04393,-0.42094,-0.35676,0.26547,0.18042,0.14233,0.08356
TCGA-06-0646,-0.27544,-0.34297,-0.30259,-0.48749,0.1489,-0.17175,-0.02597,-0.18039,-1.09794,-0.83963,0.0133,0.24441,-0.37031,-0.52542,0.0643,0.03918,0.15808,-0.37275,-0.47405,0.47126,0.15386,0.10469,0.60146,-0.53161,0.39429,-0.22247,-0.22451,1.13746,-0.35683,-0.06472,-0.70047,-0.27254,-0.37141,-0.24515,-0.08435,0.19429,0.3549,0.07751,0.23302,-0.16108,0.1,0.05492,-0.17651,-0.98386,0.08026,-0.08012,0.04602,-0.53086,-0.79244,-0.25092,-0.50543,-0.73216,-0.20243,-0.03446,0.11635,-0.291,0.1561,0.37649,-0.04292,0.2466,-0.63239,0.06013,-0.05464,-0.15777,-0.58227,-0.39931,-0.18176,0.05361,-0.56082,0.55319,0.25549,-0.90934,0.05627,0.42614,-0.49996,0.56428,0.21853,-0.31832,0.26988,-0.03672,-0.29097,0.04289,0.04739,-0.96676,0.12054,-0.09369,-0.05933,-0.01918,-0.44705,-0.22694,0.08232,-0.88938,-0.46817,0.1347,-0.09393,0.29566,-0.12484,0.5517,-0.10546
TCGA-08-0244,-0.46496,0.13915,0.06522,0.12263,-0.252,-0.23756,-0.2336,0.03388,-1.09486,-0.67355,0.13238,-0.36152,0.25314,-1.55993,-0.64925,-0.51594,-0.57277,-0.41691,-0.64212,-0.46372,-0.52673,0.58719,2.21372,-0.4884,-0.46369,-0.25401,0.48215,1.18038,1.32746,0.43861,-0.51754,-0.28286,-0.18383,0.26197,0.53307,-0.51025,0.57963,0.1407,-0.37341,0.39389,0.99492,-0.18617,-0.04644,0.88805,0.09252,0.02992,-0.00663,-0.56914,-0.6332,-0.05369,-0.28705,0.26677,0.19756,-0.25383,0.08961,0.07659,0.0636,1.49979,-0.26323,-0.79896,-0.18551,0.41178,0.50676,0.04943,-0.2181,-0.75688,-0.70798,-0.36412,0.14565,-0.88097,-0.11205,-0.41683,0.16124,0.058,1.02195,0.14162,-0.0526,0.08965,-0.77821,0.37153,0.26977,0.8115,0.06843,-0.46725,0.11094,0.15814,-0.00208,0.20485,-0.21188,0.24193,0.01956,0.05869,-0.40166,0.50498,0.14575,-0.13817,-0.14618,-0.76956,-0.27229
TCGA-08-0246,-0.47291,-0.04497,-0.0085,0.0598,0.10049,-0.2251,0.01057,-0.03519,-1.07351,-0.83704,0.05145,0.211,-0.08197,-0.2308,-0.54151,0.08025,0.53982,-0.17964,-1.34588,0.25128,-0.54186,-0.49812,3.38732,-0.34682,-0.22772,-0.55202,0.28194,1.40584,0.08883,0.77261,-0.2979,-0.39871,-0.51946,-0.06893,0.45669,-0.29193,-0.25671,-0.0246,-0.46595,0.26924,-0.02925,-0.54249,-0.38392,0.9318,0.08766,0.42051,0.18702,-0.59765,-0.71973,-0.25143,-0.09019,1.6964,0.42351,-0.49881,0.19645,-0.17692,-0.0591,-0.8428,0.42283,-2.26154,0.21744,0.16147,0.37758,0.145,-0.40689,0.13017,-0.29566,0.80188,-0.36001,-0.69557,-0.28553,0.19365,0.25486,-0.53057,0.5361,0.29739,0.00452,0.17385,-0.15659,-0.12792,0.00165,-0.3406,0.034,-0.05462,0.11116,-0.22769,0.09185,-0.9272,-0.22695,-0.11254,-0.0431,0.17019,0.16657,0.03184,0.13904,0.09046,0.19948,0.36664,-0.07167
TCGA-08-0344,-0.89213,0.31114,-0.24268,-0.13717,0.50146,0.20211,-0.88769,0.22218,-0.7351,1.10084,0.21597,-0.58065,-0.65492,-0.92695,-0.15005,1.1135,0.18959,-0.41775,-0.7183,-1.42176,-0.19317,-0.27467,1.31612,-0.62702,-1.29176,-0.23506,-0.14351,-1.15919,-0.38769,-2.7898,-0.2633,-0.41484,0.29584,0.16471,-1.12296,0.34502,-0.98369,0.4806,1.66485,-0.85334,-0.26546,1.50014,0.7235,0.0078,-0.54927,0.36257,-0.90744,-0.7081,-0.37183,-0.14504,-0.8121,-2.89689,0.29972,0.13867,0.9443,0.03917,0.43464,0.08024,-0.02229,-1.20667,-0.23484,-0.26118,0.33806,-0.47815,-0.44822,1.44536,1.05475,1.74256,-0.66886,1.62041,-0.03687,1.26993,0.12923,0.61101,-1.57046,-0.08554,1.02514,0.48319,0.25345,0.23845,0.30062,0.36475,0.10934,-1.26497,0.14705,0.10915,-0.04119,0.93013,1.62916,0.28452,-0.99572,0.79331,-0.48772,1.10074,-0.12374,-0.56522,-0.33665,-1.09863,-0.08491
TCGA-08-0345,-0.42803,-0.16914,-0.29657,-0.41712,-0.04458,-0.39447,-0.02781,-0.45795,-1.0865,-0.78302,0.25544,-0.35989,-0.63327,0.56462,-0.48933,0.12935,-0.93057,-0.49844,-0.69982,0.89486,0.38326,0.50895,-1.90342,-0.65608,1.07453,-0.23448,0.12338,-1.1291,0.21898,0.06088,-0.24186,-0.0639,0.04009,-0.03042,-0.19566,0.1427,0.66275,0.6117,-0.16851,0.22728,-0.20582,0.13704,-0.0097,-1.20913,0.48351,0.57529,0.58072,-0.58549,-0.90679,-0.46157,5.13504,-2.47418,-0.64278,-0.03066,0.0405,-0.1812,0.38841,0.27002,-0.32469,0.35661,-0.68159,0.17236,0.07841,-0.19306,0.01908,-0.128,0.06338,0.20758,-0.32927,-0.16834,-0.12589,0.10317,-0.0107,0.33012,-0.80529,0.57169,0.37474,-0.25845,0.38547,-0.15623,0.19952,-0.03235,-0.0969,-0.2299,0.25598,-0.15027,-0.0605,0.12778,0.20814,0.13785,0.55251,-0.19212,-0.38127,0.14079,-0.15764,0.03546,-0.29318,0.20637,-0.11468
TCGA-08-0347,-0.39498,-0.35348,-0.18993,-0.03885,0.23902,0.05478,-0.00791,-0.45823,-1.12859,-0.59708,0.02046,-0.00949,0.17118,1.24092,-0.89146,-0.15367,0.04205,-0.501,-1.07573,0.03724,0.39299,0.39987,-2.04318,0.01493,0.71127,0.03942,-0.17793,-0.79965,1.11132,-0.81134,0.25588,0.50688,0.21702,0.07609,0.14507,0.63572,-0.01472,0.37835,0.02472,-0.01187,-0.29513,-0.31266,-0.1058,-0.61645,-0.35986,0.31774,0.51705,-0.30168,-0.90979,-0.20025,-0.42408,1.26261,-0.61948,0.23168,0.0667,0.09991,0.00395,1.11351,0.09402,2.68013,0.17179,-0.06567,0.29866,-0.1294,-0.11631,0.04448,-0.11717,0.37011,-0.16063,0.0493,-0.06851,-0.57486,0.55673,0.56076,-0.11359,-0.06234,0.56545,-0.15523,0.24178,-0.03081,0.40285,0.10672,-0.00611,-0.02677,-0.00883,0.1645,0.05015,0.50088,0.23368,0.15283,-0.19871,-0.31666,0.84828,-0.31267,-0.91063,0.70954,0.36208,-0.09271,0.09802
TCGA-08-0348,-0.38515,0.0718,0.09569,-0.05574,0.37397,-0.53263,-0.55756,-0.42137,-1.2605,-0.87786,0.09535,-0.56542,-0.31361,1.09633,-0.10829,0.07152,-0.29514,-0.3178,-1.30744,0.39059,0.69513,0.50259,-2.11647,0.12833,1.11886,-0.43831,0.18286,-1.31878,0.09279,-1.38592,-0.12736,-0.37685,0.58675,0.36528,0.03959,0.45885,0.71214,0.17223,0.23673,0.0754,-0.05052,0.6502,-0.19798,-0.69059,-0.33616,-0.33002,-0.14104,-0.11062,-0.20216,0.0746,-0.6828,-0.06688,-0.78153,0.20888,0.09595,-0.42477,0.17631,0.8527,0.26997,0.20001,-0.56737,-0.07667,0.17999,-0.49551,-0.51674,0.9776,0.07678,0.09186,-0.46835,-0.42636,-0.10345,-0.3043,0.33926,0.58422,-1.00055,-0.17359,0.42083,0.05846,-0.19541,0.25803,0.16667,0.03422,0.12219,-0.49486,-0.02304,0.05606,-0.06179,0.39725,-1.07137,-0.02371,-0.20478,0.59938,-0.70306,-0.18882,-0.24947,-0.38764,-0.23488,-0.74244,-0.1419
TCGA-08-0349,-0.66513,-0.11342,-0.14876,-0.14937,-0.12431,0.15607,0.40395,-0.0773,2.28927,0.98267,0.00E+00,-0.12269,-0.66219,-1.35097,0.27953,-0.09862,0.25778,-0.46751,-1.13602,0.19464,-0.61182,0.17295,2.43774,-0.35613,-0.03927,-0.2425,0.27098,-1.43364,0.65536,-0.09662,0.07343,0.97581,0.22369,-0.30011,-0.4979,-0.11524,-0.25151,0.0593,-0.15904,0.42701,-0.34522,-0.14963,0.07026,-1.1104,-0.17501,0.84747,-0.28907,-0.97853,-0.72273,0.03079,-0.41456,1.36533,0.26127,0.12088,-0.12646,-0.05599,-0.04564,1.61316,0.0977,0.29129,-0.61116,-0.21121,0.09851,-0.50449,0.01192,-0.1846,-0.24357,0.00187,-0.28377,-0.03354,-0.14039,-0.62677,-0.44312,0.237,-0.16605,-0.4803,0.32156,0.06035,-0.49956,0.00374,0.12543,0.16459,-0.00712,-0.71501,-0.05399,-0.20628,0.11234,-0.06518,0.05476,0.20317,-0.16563,0.81935,-0.12036,0.31785,-0.48862,0.11269,-0.14799,-0.29225,-0.2498
TCGA-08-0350,-0.55664,0.02185,0.09169,-0.11221,0.13588,1.31641,-0.62428,0.02771,2.79057,1.28866,0.09604,-0.4917,0.04408,-0.11861,-0.79436,0.50766,0.29534,-0.42602,-1.44027,-0.12423,0.23397,-0.47236,-1.38544,-0.34453,0.02071,0.49898,-0.31464,-1.4129,-2.5487,-0.57978,-0.08806,0.28409,0.08286,-0.72908,-0.46956,0.15617,-0.84923,-0.52115,-0.04417,-0.41657,-0.5374,0.03649,-0.25249,-0.63832,-0.23838,-0.59564,-0.62617,-0.5747,0.03518,-0.11168,-0.73367,-1.29881,0.88122,0.63972,0.17017,-0.10308,-0.20364,-0.00647,-0.72177,0.31022,-0.42642,-0.77851,-0.33409,0.69652,-0.43108,0.28181,-0.24646,0.32158,-0.49734,-0.4823,-0.18958,0.02376,-0.02193,0.28967,-0.79982,-0.77979,-0.18055,0.02406,0.66339,-0.62806,-0.29425,-0.0649,0.14375,-1.23026,0.07888,0.04514,0.05803,-0.03496,0.49485,0.03663,-0.39954,0.55416,-1.33377,-0.25884,-1.01535,0.06952,-0.1652,-0.6366,-0.10282
TCGA-08-0351,-0.56387,0.36698,-0.06742,-0.09482,-0.02336,0.93124,0.43915,-0.73856,0.17725,0.3671,-0.16567,-0.51758,-0.94834,-0.88982,-0.21208,0.73756,-1.23871,-0.61671,-1.3681,-0.57795,0.14993,-0.3966,-1.64012,-0.45813,0.70042,0.26357,0.41059,-1.24846,-1.50755,-0.19011,0.32239,1.09631,-0.0658,0.51301,-0.34537,0.47784,2.33359,0.55232,-0.32471,-0.02,-0.1159,0.0205,-0.08311,-1.5825,-0.20036,0.9318,0.65257,-0.82415,-0.53065,-0.15727,-0.6672,-2.7768,0.70804,-0.39241,0.42399,0.02775,-0.5771,0.52399,-0.43613,0.83595,-0.44316,-0.38652,0.32394,0.52916,0.08782,-0.25213,-0.0354,0.26922,-0.27775,0.08906,-0.0022,-0.06143,0.29176,0.03148,-0.64541,0.15656,0.26907,0.00571,0.36456,-0.05649,0.56621,0.07212,0.08262,-0.59482,-0.01561,0.00165,-0.01192,-0.04562,-0.72095,-0.09618,-0.21135,-0.52953,0.63765,0.12946,-0.73649,0.45789,-0.3343,-0.9655,-0.04237
TCGA-08-0352,-0.13628,-0.46473,-0.12046,-0.27598,-0.14527,0.17495,-0.09763,-0.50367,-0.34052,0.87429,-0.05985,0.2234,-0.4851,-0.18433,-0.55094,-0.19023,0.72729,-0.24274,0.90987,0.51941,0.15771,0.18683,3.22356,-0.02821,0.14987,0.08615,-0.05814,1.47706,0.20682,0.22649,-0.19171,0.29451,0.07921,-0.23639,0.32151,-0.01116,-0.10709,0.70145,-0.33378,-0.15447,-0.23126,-0.02906,-0.05746,1.24625,0.01018,-0.06391,-0.01567,-0.34965,-0.66795,0.1325,1.19399,2.79264,0.0119,-0.55749,-0.09537,-0.2245,0.20655,0.22905,0.26673,-2.43171,-0.37529,0.04345,0.17227,0.25628,0.32998,-0.89546,0.12842,0.02562,0.36776,0.70778,0.2745,-0.17014,0.21882,-0.1798,0.18346,0.14484,0.57886,0.00737,0.22571,-0.00013,0.40672,-0.15224,-0.104,0.31177,-0.26388,0.0683,0.02102,-0.19822,-0.88781,-0.0226,-0.08863,-0.09266,0.11333,0.12085,-0.09526,0.6643,-0.27432,0.07577,-0.10914
TCGA-08-0353,-0.8792,-0.04386,-0.04651,-0.24489,0.08319,-0.17937,-0.84225,0.12472,-1.25837,-0.99007,-0.10463,-0.55926,-0.59419,-0.76434,-0.27947,-0.01844,-0.20338,-0.25444,-1.688,-0.22713,0.16451,-0.79591,3.91826,-0.56167,-0.37777,-0.38949,-0.63097,-1.6259,0.36117,0.45875,-0.17316,-0.49208,-0.19172,-0.34792,-0.3815,-0.57003,-0.65247,-0.56242,-0.84261,-0.8834,-0.03989,-0.69781,0.1201,-0.49971,-0.65413,-1.03512,-1.03388,-0.51137,-0.26089,-0.75516,-1.1487,-1.37763,-0.95125,-0.25732,-0.23858,-0.18785,0.33041,-0.48453,0.40606,0.63911,-0.23303,-0.77993,-0.33996,-0.08117,-0.56404,-0.32783,2.38442,0.44624,-0.36589,0.43544,0.04169,0.0095,-0.12241,0.08857,-0.22196,0.44791,-0.5465,-0.5747,-0.20508,0.31271,-0.98308,-0.5682,0.02595,-1.05988,-0.07697,-0.10787,0.02597,-0.44001,0.5875,-0.33499,-0.59425,-0.31316,-1.38197,-0.80372,-0.62791,-0.04907,-0.37349,-0.63094,-0.10297
TCGA-08-0354,-0.74105,0.23108,-0.14894,0.30187,-0.95068,-0.51868,0.11553,0.02104,-0.95794,-0.62433,0.43593,0.33589,-0.32576,-0.9862,-0.41504,-0.99954,0.01326,-0.56525,-1.25468,-0.30498,-0.74196,0.04405,1.95261,-0.86611,-0.40937,-0.09903,0.27455,-1.22145,1.40476,0.55978,-0.13016,-0.28849,-0.31541,-0.15684,0.51166,-0.6966,-0.04289,-0.19345,-0.13953,-0.3447,-0.28249,-0.72805,-0.18067,-0.11571,-0.26283,-0.16964,0.35548,-0.18893,-0.49808,-0.61559,-0.54217,2.47863,-0.6611,-0.14904,-0.14585,0.00493,0.04147,-0.13916,-0.72443,-1.61782,-0.38368,-0.18595,0.29039,-0.21611,-0.51248,-0.63842,-0.14181,-0.0016,-0.26088,-0.65808,-0.19572,-0.19879,-1.27648,-0.08147,-0.27136,-0.66118,-0.36504,0.3401,-0.29015,0.07505,0.07032,0.44886,-0.06586,0.34607,-0.14158,-0.01931,0.26115,0.04325,0.05602,0.30172,0.23347,0.07955,-0.97503,0.05616,-0.05333,0.11211,0.09099,-0.03217,0.3053
TCGA-08-0355,-0.98555,-0.4132,-0.26738,-0.1015,-0.34198,0.10677,-0.76155,-0.72852,-1.00859,-0.9406,0.01996,-0.44005,-0.30663,-0.47702,-0.78576,-0.30447,0.12278,-0.41851,-1.48412,-0.26982,-0.1987,-0.98661,2.61334,-0.08475,-0.40428,0.0584,0.06479,1.29296,0.38049,1.38847,0.24808,-0.24703,-1.03569,-0.70776,-0.71248,-0.41214,-0.08028,-0.34848,-0.49302,-0.12996,0.26687,-1.45957,-0.16869,0.35616,0.03705,-0.38773,-0.41667,-0.80962,-0.471,-1.09067,-0.90549,-0.3387,-0.56273,-0.62276,0.11177,-0.42969,-0.0503,0.7821,0.25113,-2.03126,-0.2501,-1.27475,-0.47275,-0.74785,-0.02249,-0.74168,-0.06967,0.44048,-0.4082,-0.58494,-0.26894,-0.45585,-0.54746,-0.25866,-0.21343,0.36788,-0.81945,0.24336,-0.59761,0.07926,0.33518,-0.79181,0.14792,-0.6716,-0.42767,-0.24286,-0.02945,-1.43331,-0.37877,-0.33796,-0.83601,-0.28781,0.0248,-1.551,-0.22571,-0.09727,-0.12052,-0.02483,-0.06145
TCGA-08-0358,-1.21268,-0.58525,-0.32932,-0.12606,-1.27858,-0.38218,-1.4898,-0.54236,-1.1271,-0.9341,0.18349,-0.65634,0.19097,-1.83083,-0.16323,-0.75255,-1.29891,-0.1651,-1.11678,-1.42728,-0.49229,-1.72832,1.5072,-0.7855,-2.10244,-0.40606,-0.59688,-0.14313,0.35319,-0.68355,0.11471,-0.2784,-1.29337,-1.47263,-1.3936,-1.40909,-0.32868,-1.29714,-1.21942,-2.0756,0.19368,-1.51024,-1.2321,-1.18545,-0.93064,-1.59544,-0.45175,0.15427,-1.02029,-1.76922,-1.02263,-2.56654,-1.23896,-0.12052,-0.07353,-0.96302,-0.9926,-0.49518,-0.82413,-0.66914,-0.63617,-2.01093,-1.15252,-1.13944,-1.0188,0.14034,-1.08967,0.1589,-0.78158,-0.43457,-0.07346,-0.41428,-1.38735,-0.61166,-1.02703,-0.10309,-1.42516,-0.27735,-1.24767,-1.31041,-2.17454,-1.43174,0.4025,-1.93661,0.04358,0.14185,0.33169,-1.53297,0.46106,0.36335,-0.91476,-0.26574,-1.39858,-1.8859,-1.59858,-0.39982,-0.21066,-0.16768,0.28
TCGA-08-0359,-0.20973,-0.10416,-0.05538,0.61349,0.54696,0.4259,-0.29841,-0.60018,-1.28099,-1.00666,-0.0599,0.09362,0.79515,-0.6016,-0.83516,0.22855,-0.13049,-0.69975,0.43499,0.56299,0.4126,0.17381,0.05583,-0.65916,0.35654,0.00501,0.05371,-0.85523,-2.0132,0.62797,-0.25276,0.25239,0.28927,-0.11639,-0.35476,0.58948,-0.34809,1.09173,0.27344,-0.03764,-0.146,1.18175,-0.01461,-1.18761,0.02237,-0.07196,0.28633,-0.49687,-0.54993,-0.37264,-0.01142,-1.1872,-0.67695,0.23113,0.28261,-0.09827,-0.13074,0.79071,-0.0492,-1.09696,-0.572,-0.45514,0.04661,0.36834,-0.08069,-0.4788,0.07486,0.62244,-0.33392,-0.38751,-0.11044,0.03758,0.2599,0.65335,-0.36497,-0.09517,0.22803,-0.03211,-0.3424,-0.04916,0.222,-0.05847,0.059,-1.18388,0.07853,-0.4813,-0.00499,0.08909,-0.14909,-0.09551,-0.10262,-0.19181,0.4425,-0.11275,-0.74628,-0.17775,-0.22046,0.96426,0.11571
TCGA-08-0360,0.01126,-0.30219,0.0725,0.06575,0.04493,-0.79231,0.61468,-0.59117,-0.7487,-0.64727,0.08792,0.27221,0.61987,0.6426,0.05052,-0.38718,0.22858,-0.30569,3.05065,1.40613,0.41966,0.76642,-0.32245,0.31393,0.57076,-0.42518,-0.42116,-1.11502,-1.2315,0.03085,0.14248,-0.74785,0.1247,0.07693,0.45753,0.29433,-0.82,0.52976,-0.02532,0.47316,-0.33841,-0.16078,-0.2156,0.30919,1.20575,0.82996,-0.0358,-0.45347,-0.01003,0.25447,1.40207,0.07896,0.53445,-0.2834,-0.03894,-0.24152,0.43222,0.51779,-0.56118,0.9197,-0.24946,0.28072,-0.25057,0.01593,0.08927,-0.83328,-0.07314,0.2871,-0.03539,0.09143,-0.12505,-0.5269,-0.10524,-0.02305,0.31352,0.08889,0.50463,0.16826,0.11099,0.12184,0.50693,0.0186,-0.02361,1.00227,0.25571,-0.26926,-0.16028,-0.58483,-0.49788,-0.23229,2.15582,-0.24546,0.32138,0.70753,0.01623,0.8052,0.68466,2.26817,0.79558
